text,label
kemal kılıçdaroğlundan islam ülkelerine mesaj ortadoğu barış ve işbirliği teşkilatı kurmaya karar verdik türkiye iran ırak ve suriye niçin bir araya gelmiyoruz kemal bey ismail saymaz sözcü ankarada amasya fulya destici sera kadıgil ağlama ahmet şık pide,"['siyasi-figür', 'dış-politika']"
erdoğan seçimi kazanır memurda ağlamaya devam eder erdoğan treni kaçırsa da kaçırmaz siz kaçırmayın kaçırırsınız,"['çevre-ve-şehircilik', 'seçim', 'siyasi-figür', 'iş-ve-istihdam', 'ulaşım']"
kılıçdaroğlu hdp ile ortak değil pkkyı terör örgütü olarak gördüğünü söyledi bizde türküz bizde milliyetçiyiz kimse bizim üstümüze basıp apoyu serbest bırakamaz merak etme,"['siyasi-parti', 'siyasi-figür', 'terör']"
ibo dan neden şarkısı tayyiperdoğan a gelsin,"['kültür-ve-sanat', 'siyasi-figür']"
bir tarafta hizbullah bir tarafta pkk var diyor seçim tura kalırsa pkk ile ortak dediği kemal kılıçdaroğlu utanmadan nasıl oy isteyecek,"['siyasi-figür', 'terör']"
cumhurbaşkanı erdoğan üniversiteli gençlerimize aylık gb ücretsiz internet erişim imkanı sağlayacağız yükseköğrenimdeki gençlerimize bir defaya mahsus olmak üzere cep telefonu ve bilgisayar ediniminde vergi muafiyeti sağlayacağız,"['eğitim', 'siyasi-figür', 'mesleki-haklar', 'ekonomi', 'iş-ve-istihdam']"
erdoğan seçim döneminde dünyanın en demokratik hak yemez devlet adamına bürünülüyor neymiş artık kamuya personel alırken almayacakmış çünkü işsiz aklı ve yandaş kalmadığı için yiyenlere afiyet olsun,"['seçim', 'ideoloji', 'hükümet', 'siyasi-figür']"
erdoğana hakaret davası de rekor kırdı cumhurbaşkanına hakaret ve hükümeti aşağılama suçlamasıyla geçen yıl tam bin kişi ceza mahkemelerinde hakim karşısına çıkarıldı,"['adalet', 'hükümet']"
kurum şimdi sayın kılıçdaroğlu bedava depremzedelere ev vereceğini duyurdu değil mi peki izmir büyükşehir belediyesi kendi patlrtisi olmasına rağmen izmir depreminde neden depremzedelere ev veremedi yine biz yaptık,"['afet', 'siyasi-figür']"
ince ve oganın seçmeni milliyetçi ve kemalist ikinci turda kılıçdaroğlu en az yarısı dönecektir,"['ideoloji', 'siyasi-figür', 'seçim']"
erbakana ve milli görüşe ihanet edenin şaftı işte böyle kayıyor erdoğan bu partinin yöneticileri söylemleri ve tercihleriyle erbakan hocamızın aziz hatırasını çiğniyor hocamızın manevi mirası tek bir partinin çatısı altına sığdırılamayacak kadar büyüktür saadet partisi,"['siyasi-figür', 'kültür-ve-sanat']"
sağlık bakanı paramedikleri görmezden geliyor biz bu durumdan paramedikler olarak artık çok yorulduk bunaldık bin genç işsiz tek bir umudumuz kaldı o da kemal kılıçdaroğlu paramedikler sizinle,"['siyasi-figür', 'hükümet', 'sağlık']"
işte bu kadar basitsiniz hemen iftira atıyorsunuz geçmişi iyi araştır erdoğan eşcinseller için ne demiş bir üni konuşmasın da yasa ile koruma altına alınmalıdır dediğini unuttun galiba her türlü sapıklığı yapın sonra gelin suçu bize atın çok komiksin inanmıyorsan aç bak,"['siyasi-figür', 'adalet']"
ittifaklar içi vekil paylaşımı savaşlarından sonra ittifaklar arası dalgacı mahmutlar sallama savaşları başladı kılıçdaroğlu emeklilere tl bayram ikramiyesi ve üç ay içinde vizesiz seyahat sözü vermiş de akpnin uçan arabasından sonra duyduğum en komik siyasi fıkra,"['siyasi-figür', 'politik-strateji', 'dış-politika', 'güvenlik']"
millet ittifakının tek gücü ekonominin kötü olması bu bir ittifak için ne acı bu arada kılıçdaroğlu sen adalet bakanı değil milletvekili olamazsın ifadelerini kullandığı ve chp listelerinde üst sıralarda yer alan milletvekili adayı kimdir cevabı biliyor musun portakal,"['siyasi-parti', 'politik-strateji', 'hükümet', 'siyasi-figür']"
sadece buda değil birçok aklının erdoğan ve ailesinin o dış güçler diye millet ittifakına saldırdığı ülkelerde mesela londrada milletten kaçırdıkları milyarlar var teşekkürler kılıçdaroğlu kızılay hizbullah konya adana hulusi akar istifa naci görür,"['politik-strateji', 'terör', 'siyasi-figür', 'dernek']"
erdoğan oruç tutup namaz kılıyor duyduğuna inanıp iftira atmaz yahu,"['siyasi-figür', 'din']"
kılıçdaroğlu erdoğan karşıtlığı yaratarak oy alabilmek için pkk ve fetö oylarına da göz dikti erdoğan karşıtlığında rabia işareti hamas suriyeli mülteci arap seviciliği atatürk karşıtlgi köye yardımcı oluyor erdoğan hatalı,"['siyasi-figür', 'mülteciler', 'terör']"
ince sadece ve sadece tek adam tek merci tek karar organı olmak ister gelin ülkeyi erdoğanın bir dönem daha devam etmemesi için sevmesek de kılıçdaroğlu destekleyelim sonrasında herkes özgürce kendi politik mücadelesini verir,"['sivil-haklar', 'siyasi-figür']"
hocam buna göre ve genel anlamda mv listelerine göre sayın erdoğan mı yoksa sayın kılıçdaroğlu mu daha atatürkçü ve milliyetçi,"['siyasi-figür', 'ideoloji']"
kemal kılıçdaroğlu da senin madımak katil olduğuna inanıyor jic şüphesi yok,"['siyasi-figür', 'güvenlik']"
sevgili kılıçdaroğlu evlerine geri göndermek istediğiniz suriyelilerin kaç yılından sonra türkiyeye göç etmiş olanları kapsayacak sizin de bildiğiniz üzere suriyeli göçmenler cumhuriyetin ilk yıllarından beri türkiyede yaşamaktadırlar,"['siyasi-figür', 'mülteciler']"
oğlum baba tayyiperdoğan ne kadar zengin neden koskoca ülkesi var türkiyenin sahibi çocuk haklı demokrasinin varlığından haberi yok seçimle gelinip gidildiğinden bir haber oğlum yaşında,"['seçim', 'siyasi-figür', 'ideoloji']"
cumhurbaşkanının geliş gidişinde polisin yaya olarak araçların peşinde maraton yaptıklarını erdoğan döneminde görüyoruz milletin hizmetkarı,"['güvenlik', 'siyasi-figür', 'adalet', 'hükümet']"
ekrem imamoğlu aday olsaymış olabilseymiş ile seçilirmiş küçücük şehirlerde taşıma yapmadan bu kabalıklar bravo başkan bu arada sn kılıçdaroğlu sadece evden video çekse çok fazla gaf ve hata yapıyor seccade olayı konya il dedi çünkü karış taraf herşey çok profesyonel olarak kullanıyor sn yavaş ve sn imamoğlu sahada olsa kesin kazanır kk,"['siyasi-figür', 'hükümet', 'çevre-ve-şehircilik', 'seçim']"
gelir size abdnin avrupanın kuklası olmuşsunuz oradan icazet almadan bir tane iş yapamayacak adamlarsınız kılıçdaroğlu abd seyahatinde saat yol gitti kimse yanında olmadan hamburger yedi dediniz siz ne saf insanlarsınız be ülkenin sorunlarını siz çözemezsiniz çünkü,"['siyasi-figür', 'dış-politika']"
sayın olmayan yaratık sevilay chp den cımbızladığı her oy vatana hizmettir bunu kendisine bilmiyor ama olsun oğlun erkek arkadaşı ile evlensin istiyorsan oylar kılıçdaroğlu lgbt,"['sivil-haklar', 'siyasi-figür', 'siyasi-parti']"
gerek yok böyle kurallarla kendini bağlamaya vahiy değil sonuçta mesela dönem cb kuralını da erdoğan getirdi sonra muhalefet erdoğanın getirdiği kuralı erdoğana karşı kullandı aymye kostular erdoğan aday olamaz diye ne gerek vardı yani önümüzdeki dönem erdoğan cb olamaz,"['siyasi-figür', 'seçim']"
ülkede ilde deprem olmuş binlerce insan evsiz kalmış bin insanımız hayatını kaybetmiş bine yakını sakat kalmış ama muhalefetin cumhurbaşkanı adayı kemal kılıçdaroğlunun gündemi kuru soğan bu ülke sizin küçük beynininiz içine hapsedilmeyecek kadar çok büyük,"['afet', 'siyasi-figür', 'hükümet', 'seçim']"
bu söylediklerin senin fikrin olamaz aklını kiraya ver mısın millet ittifakın cumhur başkanı kemal kılıçdaroğlu olacak halk nefes alacak,"['hükümet', 'siyasi-figür', 'politik-strateji', 'konut']"
selvi hanımın beden dilini yüz ağız kaş göz mimiklerini okumaktan aciz değiliz özlemciğim ha sen o malum trene bakıyorsun ha selvi hanım o tesettürlü olanlara bakıyor yemeyin bizi,"['ulaşım', 'çevre-ve-şehircilik']"
millet ittifakı cumhurbaşkanı adayı ve chp genel başkanı kemal kılıçdaroğlu ankara büyükşehir belediye başkanı mansur yavaş ve partililerle çanakkale şehitliklerini ziyaret etti şehitlere dua okuyan kılıçdaroğlu atatürk anıtı önüne çelenk mezar başlarına da karanfil bıraktı,"['siyasi-figür', 'hükümet', 'siyasi-parti']"
allahın izni ile reisi cumhur olarak tayyiperdoğanı seçelim şunların ağızlarından her açtıklarında irin damlayan çeneleri bir kapansın üzerimden refah fazilet ak parti dönemlerinin yükü kalkmış olacak kaç yıldır yalana dolana çamura iftiraya müdaheleye savun koru siper ol,"['sosyal-yardım', 'siyasi-figür', 'siyasi-parti', 'siyasi-manipülasyon']"
de giden yıla yazık oldu ne olduysa seçim zamanı aklınıza geldi o karşı çıktığınız kentsel dönüşüm projeleri ne olacak o vebali nasıl vereceksiniz yatacak yeriniz yok ama siz ne yapar yapar onu da erdoğana mal edersiniz ke mal başkanınla beraber,"['seçim', 'konut', 'hükümet']"
kılıçdaroğlu muharrem incenin adaylığını açıklarken eski bir öğretmen yeni bir politikacı sayın muharrem ince gel bakalım buraya demişti sadullah erginin adaylığını açıklarken de eski düşmanım yeni dostum ey fetullahın çocuğu gel bakalım buraya demesini beklerdim,"['siyasi-figür', 'eğitim', 'seçim']"
ölüm yeter lan allah allah iyi misin sen kere yaptın kılıçdaroğlu alıyor bak maaşından olacaksın benden söylemesi,"['siyasi-figür', 'ekonomi', 'iş-ve-istihdam']"
cumhurbaşkanı erdoğan yükseköğrenimdeki gençlere aylık gb ücretsiz internet vereceklerini açıkladı,"['mesleki-haklar', 'iş-ve-istihdam', 'siyasi-figür']"
mansur yavaş a söz yok diğerlerini tanımamışsınız imamoğlunun erdoğandan farkı yok diplomasi şaibeli yolsuzluk dosyalı tarikatçı takunyalı atatürk düşmanı cengiz inşaat akşener in oğlu ve kocasının ortağı,"['adalet', 'siyasi-figür', 'yolsuzluk']"
tek gerçek receptayyip erdoğan gerisi hikaye yalan dolan proje,"['siyasi-figür', 'siyasi-manipülasyon']"
yok ya ben ergenekon balyoz gibi davalarda türk atatürkçü subaylar mı içeri alacak de kemal kılıçdaroğlu bunlar yargılanacak diyecek de bunlar yine bu sefer chp den aday olacak sonra aynısını yaşındaki kız çocuğuna tecavüz eden orospu çocuğu için kulanca ama yine,"['seçim', 'siyasi-figür', 'hükümet', 'adalet', 'ideoloji', 'siyasi-parti']"
temmuz bunlara çok koymuş ki bizi unutamıyorlar biz yine doğrusunu yazalım hdpciler seçim çalışması için gittikleri köyde iki hu da parlıyı katletmişti cumhurbaşkanı erdoğan o olay üzerinden hdpye tepki gösteriyor fetöcü hakan videoyu kesmiş,"['seçim', 'terör', 'siyasi-figür', 'çevre-ve-şehircilik']"
kamuda mülakat kalkıyor başkan erdoğan atamaları yazılı sınav sonuçlarına göre yapacağız,"['siyasi-figür', 'hükümet', 'eğitim']"
başkan erdoğan ak parti seçim beyannamesi ve milletvekili aday tanıtım toplantısında bir kez daha yeter söz milletindir demek yeter söz de karar da milletindir demek için bir aradayız bizim yeter dememiz bay bay kemalin yeter demesine benzemez,"['hükümet', 'siyasi-parti', 'seçim', 'siyasi-figür']"
amerika erdoğanı niye istemiyor büyük orta doğu projesinin başlarına yıktığı için,['dış-politika']
ak partinin seçim beyannamesinde öne çıkan maddeler cumhurbaşkanı receptayyip erdoğanın açıkladığı ak parti seçim beyannamesinde çok sayıda alanda destekler öne çıkıyor,"['hükümet', 'siyasi-parti', 'seçim', 'siyasi-figür']"
nisan analizi kemal kılıçdaroğlu dışında birine oy atmak atalarımıza ihânettir parti olarak ideolojinize en yakın partiye oy atabilirsiniz,"['ideoloji', 'siyasi-figür']"
bak şu güzelliğe geçerken iki rekat namaz kıl yaptıran receptayyip erdoğana dua edersin,"['siyasi-figür', 'din']"
kılıçdaroğlunun pkkya karşıymış gibi yaptığı açıklama pkk ile yaptığı işbirliği gerçeğini değiştirmez gerçek ortada inkar etmenin faydası yok,"['politik-strateji', 'terör']"
cumhurbaşkanı erdoğan seçim beyannamesini açıklıyor kamuya işe alımları görevin getirdiği zorunluluklar dışında mülakatı kaldırarak gençlerimizin sınavlardaki başarı sıralamasına göre yapacağız arasında süper hızlı tren hattı kuracağız,"['eğitim', 'çevre-ve-şehircilik', 'seçim', 'siyasi-figür', 'ulaşım']"
yok çivi çakmaktan bahsediyor ama metro deliğine çakmış çivileri sayın erdoğanın çivisi nurettin sozenin çivisinden kata daha küçükmüş,"['çevre-ve-şehircilik', 'ulaşım']"
