text,label
vatanına hizmet eden herkes hakettiğini almalı şu an aktif çalışan en önemli üç temel sorunu geçinebilecekleri bir maaş kapsamlı bir sosyal güvence kapsamlı bir korucu kanunu bunlar bütün korucularımizn ortak talep ve beklentileridir,['mesleki-haklar']
yerel seçimlerde ankara ve istanbul akpye geri dönecektir chpnin kıçını kurtaracak hdp ve iyi parti olmayacaktır ve en önemlisi chpnin başında bay kemal olacaktır,"['siyasi-parti', 'seçim', 'siyasi-figür']"
evde engelli ve hasta bakımı yapanların çalışma imkanı yok ve sosyal güvenceleri olmuyor onlarında sağlık güvencesi emeklilik en tabiî hakları yaşımız ilerliyor gücümüz tükeniyor,"['sosyal-yardım', 'sağlık']"
kadına şiddetin tacizin asla ceza almadığı bir kadın hakları dönemi kadınları korumayan umurunda olmayan erkek zihniyeti,"['adalet', 'aile-ve-toplumsal-konular']"
dedem istifa etmediğin sürece halkın gözündeki tanımın senin adın siyasete işkencedir sana oy vermeyenlere eğlencedir güzel bir eser sunmuş bize tam sene önce değerini yeni anladım seçimleri için bestelenmiş bir eser,['siyasi-figür']
memurların sahip olduğu tayin hakları gibi tayin verilmezse yapılacak herşey boş,['mesleki-haklar']
yıldır chp oy veren biri olarak yazıyorum tayyiperdoğana mi destek veriyorsunuz bunu anlıyoruz yeter diyoruz hep sizi destekledik halkı aptal yerine koymayın tek adamdan bıktık artık songül yurdakul,"['siyasi-parti', 'seçim']"
bu bölücü saçmalıkların peşinden gidecek değiliz chp meydanlarda bunları haykırdı demirtaş özgürlük özerkliği getireceğim khkcıların işe iadesi ab şartlarını kabul edecek çekinceleri kaldıracağım anayasada etnik tarif olmaz eşit yurttaşlık,"['siyasi-parti', 'sivil-haklar', 'siyasi-figür', 'sosyal', 'ideoloji']"
siz ne kadar onursuz adamlarsınız halen bu ahmet aydın denilen hırsızı destekliyorsunuz demek ki size iyi besliyor size de yolsuzluk rüşvet torpil kapısı açmış yani kısacası sizde vatan millet bayrak diyerek milyonları cebe indiren hırsızlarsınız,['yolsuzluk']
hayırlı uğurlu olsun sayın vekilim bazı kamu avukatlarına verilip de tutulmayan sözlerin takipçisi olacağınıza size yakıştığı gibi sözünüzü tutacağınıza ve en kısa sürede kamu avukatlarının özlük ve mali haklarının verileceğine inancımız tam,['mesleki-haklar']
anadolunun tüm şehirlerinden sistemli ve ücretsiz limanlara demiryolu hattı ile lojistik destek sağlanmalı bu lojistik işi de profesyonel yönetilmeli yoksa sermaye istanbul ve çerçevesine sıkışıp kalıyor,"['çevre-ve-şehircilik', 'ulaşım']"
kpss ilave atama bekliyor öğretmenlerimiz geleceğimiz umudumuz hepsi geleceğin birer altın parçası seslerine ses verin,"['iş-ve-istihdam','eğitim']"
yakışır sana böyle antin kentin adamlar sevgili valla bravo sana aferin böyle devam topla tüm siyasal islam artıklarını partiye,"['siyasi-parti', 'ideoloji']"
yeniden refah partisi büyük birlik partisi milliyetçi hareket partisi ve ak parti parti olarak kendi logoları ile birlikte seçime girecek,"['siyasi-parti', 'seçim']"
komünist falan ayıp oluyor yalnız,['ideoloji']
allah cezalarını versin çalışanın zam farkını tane tabletten çıkarıyor mahluk komünizm şart kuzey koreyi takdir ediyorum attık ne zaman ilgilenileceksiniz bu piyasayla aylardır lira olan salça şu anda lira marketten geliyorum,"['ekonomi','ideoloji']"
fetönün piçleri bu ülke de hakim savcı polis asker işadamı dernek vakıf medya yönetileriydu türkiyede pkk niçin bitirilemiyordu pkk terör örgütü olsun onun siyasi uzantısı hdp olsun db ye göre bu bir düzenleme getirin,"['güvenlik', 'terör', 'siyasi-parti']"
kpss puanı ile ek atama bekleyen öğretmenler olarak müjde bekliyoruz,['iş-ve-istihdam']
erdoğan sayesinde bakanlık gördün bodur münafık davaroğlu,"['siyasi-figür', 'hükümet']"
türkiye yüzyılında insan hakları değil kadın hakları var kısa süren evlilik çocuk yok ve ayrı yaşadığım hayatımda olmayan birine yasaları zoruyla nafaka ödüyorum boşanma davası evlilik süresini geçti,"['sosyal', 'adalet', 'aile-ve-toplumsal-konular']"
siz islamiyet ve başörtü düşmanlarına neden bu kadar sevecensiniz,['din']
kamal bunu bin kişi ile ve kandırdığı islam ulemalının desteğini alarak bu dinsiz düzeni getirdi ve halk da kabullendi ve entegre oldu neden karşı çıkmadı karşı çıkan ulema dar ağacında sallandırıldı neredeydi o zaman o dindar halk neden ayaklanmadı yani kolay değil öyle,"['din', 'siyasi-figür']"
tanju halen chp üyesi olması bile kılıçdaroğlunun hoşgörü ve demokrasi anlayışının göstergesidir çoktan ihraç edilmesi gerekiyordu,"['siyasi-figür', 'siyasi-parti', 'ideoloji']"
dava satma deyince akla sadece tayyiperdoğan gelir yılında erbakanı yolda bırakıp abd ve siyonizm desteği ile iktidarı tercih eden adam gelir milli görüş gömleğini çıkardık diyen rte gelir dava dava yok ortada tek dava var o da daha çok mal mülk ihale davası,['siyasi-figür']
fetö akpyi beşledi sonra birbirlerini yediler oğlum sıfırladın mı bunları fetö ortaya çıkarttı yolsuzluk yapan kişiler devlete ihanet yapmış oluyor haram olsun,"['terör', 'siyasi-parti']"
iyide iş pezevenkliğe boynuzluluğa gelince batı ölçü alınıyor ama iş bu yine bu milletin faydasına olacak bir uygulama olduğunda batı ölçü alınıyor yıldır mayınları sınırdan kaldırdığı kontrolsüz mülteci akınına mani olunmasın diye eş başkanı görevini yapıyor,"['mülteciler', 'hükümet']"
iktidar islama hizmet ve türkiyenin önünü açmak için camı açmak gibi simgesel işleri bırakmalı türkiyenin sosyal siyasal hukuki iktisadi katmanlarını medeniyetimizin ruhuna uyumlu hale getirilmesi için gerekli çalışmalar ortaya koymalıdır,"['din', 'hükümet']"
belediye şirket işçileri sadece tediye değil tüm sosyal haklarla beraber maaşların düzeltilmesini talep ediyor kişi aileleriyle milyon kişi insan gibi yaşamayı hak ediyor den beri asgari ücret yemek yol ile hayatını daim ettirmekten bir hayli sildim,['mesleki-haklar']
erdoğan yapar anlatmaz ekrem duvar köprü boyar ağzı yaygara erdoğan gece uyumaz gündüz yatmaz ekrem tatilden dönmez işi gücü gargara yaptığı eserlerin bir tanesi de ele avuca sığsa başını boyamış kıçını boyamış açılış yapmış al sana kampanya,"['siyasi-figür', 'siyasi-manipülasyon']"
en güzelini doğrusunu yaptınız bu manipülatif muhalefetle yol yürünmez deprem bölgesi dediler hastane temeli dediler defne hastanesi bitti herkesin her şeyi var yalanla manipüle ettiler ama halk inanmadı bu zavallılara,"['siyasi-manipülasyon', 'sağlık', 'afet',  'hükümet']"
hırsızlıkları ortaya çıkaran bir gazeteciyi güpegündüz darp eden bu haydutlarına kınayacak mısın,['yolsuzluk']
montaj demek sahte olduğu anlamına gelmez ypg terör örgütü değildir diyen sensin hdpkk ile ittifak yapan sensin doğu akdenizde işimiz yok diyen sensin bunları birleştirip video yapmışlar,"['politik-strateji', 'siyasi-manipülasyon', 'terör']"
milliyetçi yanım fena halde destekliyor alevi yanım sağcılara asla güven olmayacağını onlar tarafından katledilen insanları unutma diyor sol tarafım sağcıların ideolojisinin bokunun çıktığının farkında ve ülkücü görüşten nefret ediyor istifa et aq,['ideoloji']
işte bu mevzuyu seçmene anlatamadınız sahte video ya bile ne olmuş yani diyorlar bu saatten sonra iktidar seçmenlerine tek kelime anlatamazsınız o tren gitti seçimi nasıl kazandıkları önemli gerisi teferruattır,"['seçim', 'siyasi-manipülasyon']"
